texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SCL,No ,No ,Sandy clay loam,59966362,120449433
CL,No ,No ,Clay loam,59966362,120449434
SL,No ,No ,Sandy loam,59966362,120449435
L,No ,Yes,Loam,59966362,120449436
SL,No ,No ,Sandy loam,59966363,120449437
SCL,No ,No ,Sandy clay loam,59966363,120449438
L,No ,Yes,Loam,59966363,120449439
L,No ,Yes,Loam,59966364,120449440
CL,No ,No ,Clay loam,59966364,120449441
CL,No ,No ,Clay loam,59966365,120449442
L,No ,Yes,Loam,59966365,120449443
SICL,No ,Yes,Silty clay loam,59966594,120449884
SIC,No ,No ,Silty clay,59966594,120449885
SIC,No ,No ,Silty clay,59966595,120449886
SICL,No ,Yes,Silty clay loam,59966595,120449887
SICL,No ,Yes,Silty clay loam,59966596,120449888
SIC,No ,No ,Silty clay,59966596,120449889
SIC,No ,No ,Silty clay,59966597,120449890
SICL,No ,Yes,Silty clay loam,59966597,120449891
SIL,No ,No ,Silt loam,59966598,120449892
SICL,No ,Yes,Silty clay loam,59966598,120449893
SIC,No ,No ,Silty clay,59966598,120449894
SICL,No ,Yes,Silty clay loam,59966599,120449895
MK-SICL,No ,No ,Mucky silty clay loam,59966599,120449896
SIL,No ,No ,Silt loam,59966599,120449897
MK-SIL,No ,No ,Mucky silt loam,59966599,120449898
SIL,No ,No ,Silt loam,59966600,120449899
SICL,No ,Yes,Silty clay loam,59966600,120449900
MK-SICL,No ,No ,Mucky silty clay loam,59966600,120449901
MK-SIL,No ,No ,Mucky silt loam,59966600,120449902
SICL,No ,Yes,Silty clay loam,59966601,120449903
SICL,No ,Yes,Silty clay loam,59966602,120449904
SICL,No ,Yes,Silty clay loam,59966603,120449905
SICL,No ,Yes,Silty clay loam,59966604,120449906
SIL,No ,No ,Silt loam,59966605,120449907
SICL,No ,Yes,Silty clay loam,59966605,120449908
CL,No ,No ,Clay loam,59966605,120449909
