cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
20428362,54168,"DHS - Catastrophic Event, Large Animal Mortality, Incinerate",0,54168,"DHS - Catastrophic Event, Large Animal Mortality, Incinerate",0,0.3,Somewhat limited,0.3,Somewhat limited,0.3,Somewhat limited,0.3,Somewhat limited,0,0,0,762498161
20428362,54168,"DHS - Catastrophic Event, Large Animal Mortality, Incinerate",1,63698,Flooding  Very Rare/Rare Freq/Occas.,1,0.3,Flooding,0.3,Flooding,0.3,Flooding,0.3,Flooding,0,0,0,762498162
20428362,21013,"DHS - Catastrophic Mortality, Large Animal Disposal, Pit",0,21013,"DHS - Catastrophic Mortality, Large Animal Disposal, Pit",0,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0,0,0,762498163
20428362,21013,"DHS - Catastrophic Mortality, Large Animal Disposal, Pit",1,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498164
20428362,21013,"DHS - Catastrophic Mortality, Large Animal Disposal, Pit",2,25797,"Clayey 30-200cm, Moisture Modified, Catastrophic Events",1,0,Not clayey,0.013,Clay content,0.013,Clay content,0.114,Clay content,0,0,0,762498165
20428362,21014,"DHS - Catastrophic Mortality, Large Animal Disposal, Trench",0,21014,"DHS - Catastrophic Mortality, Large Animal Disposal, Trench",0,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0,0,0,762498166
20428362,21014,"DHS - Catastrophic Mortality, Large Animal Disposal, Trench",1,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498167
20428362,21014,"DHS - Catastrophic Mortality, Large Animal Disposal, Trench",2,25797,"Clayey 30-200cm, Moisture Modified, Catastrophic Events",1,0,Not clayey,0.013,Clay content,0.013,Clay content,0.114,Clay content,0,0,0,762498168
20428362,66647,DHS - Emergency Animal Mortality Disposal by Shallow Burial,0,66647,DHS - Emergency Animal Mortality Disposal by Shallow Burial,0,0.3,Slightly limited,0.3,Slightly limited,0.3,Slightly limited,0.3,Slightly limited,0,0,0,762498169
20428362,66647,DHS - Emergency Animal Mortality Disposal by Shallow Burial,1,66649,Flooding  Very Rare/Rare,1,0.3,Flooding,0.3,Flooding,0.3,Flooding,0.3,Flooding,0,0,0,762498170
20428362,20799,DHS - Potential for Radioactive Bioaccumulation,0,20799,DHS - Potential for Radioactive Bioaccumulation,0,0,Very low bioaccumulation potential,0,Very low bioaccumulation potential,0,Very low bioaccumulation potential,0.011,Low bioaccumulation potential,0,0,0,762498171
20428362,20799,DHS - Potential for Radioactive Bioaccumulation,1,20818,Bioaccumulation Material Gain Potential,1,0,Does not gain bioavailable material,0,Does not gain bioavailable material,0,Does not gain bioavailable material,0,Does not gain bioavailable material,0,0,0,762498172
20428362,20799,DHS - Potential for Radioactive Bioaccumulation,2,20866,Bioaccumulation Sorption,1,0,"Bioavailability low due to CEC, pH, or organic sorption",0,"Bioavailability low due to CEC, pH, or organic sorption",0,"Bioavailability low due to CEC, pH, or organic sorption",0.011,"Bioavailability high due to low CEC, pH, or organic sorption",0,0,0,762498173
20428362,20791,DHS - Potential for Radioactive Sequestration,0,20791,DHS - Potential for Radioactive Sequestration,0,1,High sequestration potential,0.98,High sequestration potential,0.98,High sequestration potential,0.989,High sequestration potential,0,0,0,762498174
20428362,20791,DHS - Potential for Radioactive Sequestration,1,20793,Sequestration Organic Surface,1,0.723,Sequestration due to fertility effects,0.98,Sequestration due to fertility effects,0.98,Sequestration due to fertility effects,0.99,Sequestration due to fertility effects,0,0,0,762498175
20428362,20791,DHS - Potential for Radioactive Sequestration,2,20814,Sequestration Clay Content,1,1,Adsorption by clay,0.98,Adsorption by clay,0.98,Adsorption by clay,0.467,Adsorption by clay,0,0,0,762498176
20428362,20309,"DHS - Rubble and Debris Disposal, Large-Scale Event",0,20309,"DHS - Rubble and Debris Disposal, Large-Scale Event",0,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0,0,0,762498177
20428362,20309,"DHS - Rubble and Debris Disposal, Large-Scale Event",1,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498178
20428362,20309,"DHS - Rubble and Debris Disposal, Large-Scale Event",2,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498179
20428362,20309,"DHS - Rubble and Debris Disposal, Large-Scale Event",3,25797,"Clayey 30-200cm, Moisture Modified, Catastrophic Events",1,0,Not clayey,0.013,Clay content,0.013,Clay content,0.114,Clay content,0,0,0,762498180
20428362,20309,"DHS - Rubble and Debris Disposal, Large-Scale Event",4,25796,"Unstable Excavation Walls, Catastrophic Events",1,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0,0,0,762498181
20428362,20468,DHS - Site for Composting Facility - Subsurface,0,20468,DHS - Site for Composting Facility - Subsurface,0,0.043,Somewhat limited,0.087,Somewhat limited,0.087,Somewhat limited,0.5,Somewhat limited,0,0,0,762498182
20428362,20468,DHS - Site for Composting Facility - Subsurface,1,20487,Precipitation,1,0.043,Low precipitation,0.087,Low precipitation,0.087,Low precipitation,0.101,Low precipitation,0,0,0,762498183
20428362,20468,DHS - Site for Composting Facility - Subsurface,2,25796,"Unstable Excavation Walls, Catastrophic Events",1,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0,0,0,762498184
20428362,20461,DHS - Site for Composting Facility - Surface,0,20461,DHS - Site for Composting Facility - Surface,0,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0.5,Somewhat limited,0,0,0,762498185
20428362,20461,DHS - Site for Composting Facility - Surface,1,20467,"Soil Strength (AASHTO Group Index, 0-50cm)",1,0.4,Low strength,0.4,Low strength,0.4,Low strength,0.4,Low strength,0,0,0,762498186
20428362,20461,DHS - Site for Composting Facility - Surface,2,20487,Precipitation,1,0.043,Low precipitation,0.087,Low precipitation,0.087,Low precipitation,0.101,Low precipitation,0,0,0,762498187
20428362,20382,DHS - Suitability for Clay Liner Material,0,20382,DHS - Suitability for Clay Liner Material,0,0,Poor,0.099,Fair,0.099,Fair,0.446,Fair,0,0,0,762498188
20428362,20382,DHS - Suitability for Clay Liner Material,1,20506,Hard to Pack Subrule,1,0,Hard to pack,0.099,Hard to pack,0.099,Hard to pack,0.446,Hard to pack,0,0,0,762498189
20428362,20382,DHS - Suitability for Clay Liner Material,2,20446,Area Reclaim Subrule,1,0.8,Area reclaim difficulty,0.993,Area reclaim difficulty,0.993,Area reclaim difficulty,0.993,Area reclaim difficulty,0,0,0,762498190
20428362,20472,DHS - Suitability for Composting Medium and Final Cover,0,20472,DHS - Suitability for Composting Medium and Final Cover,0,0.993,Fair,1,Good,1,Good,1,Good,0,0,0,762498191
20428362,10324,ENG - Construction Materials; Gravel Source,0,10324,ENG - Construction Materials; Gravel Source,0,0,Poor,0,Poor,0,Poor,0,Poor,0,0,0,762498192
20428362,10324,ENG - Construction Materials; Gravel Source,1,22954,"Gravel Bottom Layer, Cemented",1,0,Bottom layer,0,Bottom layer,0,Bottom layer,0,Bottom layer,0,0,0,762498193
20428362,10324,ENG - Construction Materials; Gravel Source,2,22955,"Gravel Thickest Layer, Cemented",1,0,Thickest layer,0,Thickest layer,0,Thickest layer,0,Thickest layer,0,0,0,762498194
20428362,10514,ENG - Construction Materials; Reclamation,0,10514,ENG - Construction Materials; Reclamation,0,0.387,Fair,0.843,Fair,0.843,Fair,0.993,Fair,0,0,0,762498195
20428362,10514,ENG - Construction Materials; Reclamation,1,10367,pH Minimum (acid),1,0.387,Too acid,0.843,Too acid,0.843,Too acid,1,No acidity limitation,0,0,0,762498196
20428362,10514,ENG - Construction Materials; Reclamation,2,10368,Erodibility Factor Maximum,1,0.993,Water erosion,0.993,Water erosion,0.993,Water erosion,0.993,Water erosion,0,0,0,762498197
20428362,10028,ENG - Construction Materials; Roadfill,0,10028,ENG - Construction Materials; Roadfill,0,0,Poor,0,Poor,0,Poor,0,Poor,0,0,0,762498198
20428362,10028,ENG - Construction Materials; Roadfill,1,10029,Low Strength (AASHTO GIN in depth or Restriction),1,0,Low strength,0,Low strength,0,Low strength,0,Low strength,0,0,0,762498199
20428362,10028,ENG - Construction Materials; Roadfill,2,23779,"Dust PM10 and PM2.5 Generation, Suitability",1,0.794,Dusty,0.794,Dusty,0.794,Dusty,0.794,Dusty,0,0,0,762498200
20428362,10028,ENG - Construction Materials; Roadfill,3,10511,Low Shrink-Swell (25 to 150cm or Restrictive Layer) Wt_Ave,1,0.74,Shrink-swell,0.968,Shrink-swell,0.968,Shrink-swell,1,No shrink-swell limitation,0,0,0,762498201
20428362,10332,ENG - Construction Materials; Sand Source,0,10332,ENG - Construction Materials; Sand Source,0,0,Poor,0,Poor,0,Poor,0,Poor,0,0,0,762498202
20428362,10332,ENG - Construction Materials; Sand Source,1,23704,Sand Bottom Layer (revised),1,0,Bottom layer,0,Bottom layer,0,Bottom layer,0,Bottom layer,0,0,0,762498203
20428362,10332,ENG - Construction Materials; Sand Source,2,21969,Sand Thickest Layer (revised),1,0,Thickest layer,0,Thickest layer,0,Thickest layer,0,Thickest layer,0,0,0,762498204
20428362,10345,ENG - Construction Materials; Topsoil,0,10345,ENG - Construction Materials; Topsoil,0,0.98,Fair,1,Good,1,Good,1,Good,0,0,0,762498205
20428362,989,ENG - Daily Cover for Landfill,0,989,ENG - Daily Cover for Landfill,0,0.069,Somewhat limited,0.069,Somewhat limited,0.069,Somewhat limited,0.247,Somewhat limited,0,0,0,762498206
20428362,989,ENG - Daily Cover for Landfill,1,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498207
20428362,989,ENG - Daily Cover for Landfill,2,37191,"Clay Content 25 to 180cm, Weighted Average",1,0,Not clay textured,0.025,Too clayey,0.025,Too clayey,0.247,Too clayey,0,0,0,762498208
20428362,340,ENG - Dwellings W/O Basements,0,340,ENG - Dwellings W/O Basements,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,762498209
20428362,340,ENG - Dwellings W/O Basements,1,213,Flooding (Maximum Frequency),1,1,Flooding,1,Flooding,1,Flooding,1,Flooding,0,0,0,762498210
20428362,340,ENG - Dwellings W/O Basements,2,23803,Shrink-Swell (LEP WTD_AVG 25-100cm or Bedrock),1,0.015,Shrink-swell,0.015,Shrink-swell,0.015,Shrink-swell,0.015,Shrink-swell,0,0,0,762498211
20428362,393,ENG - Dwellings With Basements,0,393,ENG - Dwellings With Basements,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,762498212
20428362,393,ENG - Dwellings With Basements,1,213,Flooding (Maximum Frequency),1,1,Flooding,1,Flooding,1,Flooding,1,Flooding,0,0,0,762498213
20428362,393,ENG - Dwellings With Basements,2,23807,"Shrink-Swell (LEP WTD_AVG Above Bedrock or 60"") (revised)",1,0.127,Shrink-swell,0.127,Shrink-swell,0.127,Shrink-swell,0.127,Shrink-swell,0,0,0,762498214
20428362,402,"ENG - Lawn, Landscape, Golf Fairway",0,402,"ENG - Lawn, Landscape, Golf Fairway",0,0.069,Somewhat limited,0.069,Somewhat limited,0.069,Somewhat limited,0.069,Somewhat limited,0,0,0,762498215
20428362,402,"ENG - Lawn, Landscape, Golf Fairway",1,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498216
20428362,398,ENG - Local Roads and Streets,0,398,ENG - Local Roads and Streets,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,762498217
20428362,398,ENG - Local Roads and Streets,1,399,Potential Frost Action > Low,1,1,Frost action,1,Frost action,1,Frost action,1,Frost action,0,0,0,762498218
20428362,398,ENG - Local Roads and Streets,2,25890,Strength (AASHTO Group Index Weighted Average (25-100cm)),1,1,Low strength,1,Low strength,1,Low strength,1,Low strength,0,0,0,762498219
20428362,398,ENG - Local Roads and Streets,3,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498220
20428362,398,ENG - Local Roads and Streets,4,23803,Shrink-Swell (LEP WTD_AVG 25-100cm or Bedrock),1,0.015,Shrink-swell,0.015,Shrink-swell,0.015,Shrink-swell,0.015,Shrink-swell,0,0,0,762498221
20428362,979,ENG - Sanitary Landfill (Area),0,979,ENG - Sanitary Landfill (Area),0,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0,0,0,762498222
20428362,979,ENG - Sanitary Landfill (Area),1,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498223
20428362,979,ENG - Sanitary Landfill (Area),2,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498224
20428362,419,ENG - Sanitary Landfill (Trench),0,419,ENG - Sanitary Landfill (Trench),0,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0,0,0,762498225
20428362,419,ENG - Sanitary Landfill (Trench),1,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498226
20428362,419,ENG - Sanitary Landfill (Trench),2,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498227
20428362,419,ENG - Sanitary Landfill (Trench),3,37191,"Clay Content 25 to 180cm, Weighted Average",1,0,Not clay textured,0.025,Too clayey,0.025,Too clayey,0.247,Too clayey,0,0,0,762498228
20428362,208,ENG - Septic Tank Absorption Fields,0,208,ENG - Septic Tank Absorption Fields,0,0.4,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,762498229
20428362,208,ENG - Septic Tank Absorption Fields,1,233,"Percolation 60 - 180cm (24-72"")",1,0.318,Slow water movement,1,Slow water movement,1,Slow water movement,1,Slow water movement,0,0,0,762498230
20428362,208,ENG - Septic Tank Absorption Fields,2,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498231
20428362,430,ENG - Sewage Lagoons,0,430,ENG - Sewage Lagoons,0,0.4,Somewhat limited,0.5,Somewhat limited,0.5,Somewhat limited,0.68,Somewhat limited,0,0,0,762498232
20428362,430,ENG - Sewage Lagoons,1,424,"Seepage 30 - 150cm (12-60"")",1,0,No seepage,0.5,Seepage,0.5,Seepage,0.68,Seepage,0,0,0,762498233
20428362,430,ENG - Sewage Lagoons,2,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498234
20428362,302,ENG - Shallow Excavations,0,302,ENG - Shallow Excavations,0,0.069,Somewhat limited,0.069,Somewhat limited,0.069,Somewhat limited,0.069,Somewhat limited,0,0,0,762498235
20428362,302,ENG - Shallow Excavations,1,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498236
20428362,302,ENG - Shallow Excavations,2,23768,"Unstable Excavation Walls, revised",1,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0,0,0,762498237
20428362,395,ENG - Small Commercial Buildings,0,395,ENG - Small Commercial Buildings,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,762498238
20428362,395,ENG - Small Commercial Buildings,1,213,Flooding (Maximum Frequency),1,1,Flooding,1,Flooding,1,Flooding,1,Flooding,0,0,0,762498239
20428362,395,ENG - Small Commercial Buildings,2,23803,Shrink-Swell (LEP WTD_AVG 25-100cm or Bedrock),1,0.015,Shrink-swell,0.015,Shrink-swell,0.015,Shrink-swell,0.015,Shrink-swell,0,0,0,762498240
20428362,23656,ENG - Unpaved Local Roads and Streets,0,23656,ENG - Unpaved Local Roads and Streets,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,762498241
20428362,23656,ENG - Unpaved Local Roads and Streets,1,399,Potential Frost Action > Low,1,1,Frost action,1,Frost action,1,Frost action,1,Frost action,0,0,0,762498242
20428362,23656,ENG - Unpaved Local Roads and Streets,2,400,"Strength (AASHTO Group Index Thickest Layer 10 to 40"")",1,1,Low strength,1,Low strength,1,Low strength,1,Low strength,0,0,0,762498243
20428362,23656,ENG - Unpaved Local Roads and Streets,3,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498244
20428362,23656,ENG - Unpaved Local Roads and Streets,4,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498245
20428362,23656,ENG - Unpaved Local Roads and Streets,5,23803,Shrink-Swell (LEP WTD_AVG 25-100cm or Bedrock),1,0.015,Shrink-swell,0.015,Shrink-swell,0.015,Shrink-swell,0.015,Shrink-swell,0,0,0,762498246
20428362,57992,Farm and Garden Composting Facility - Surface,0,57992,Farm and Garden Composting Facility - Surface,0,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,0,0,0,762498247
20428362,57992,Farm and Garden Composting Facility - Surface,1,20467,"Soil Strength (AASHTO Group Index, 0-50cm)",1,0.4,Low strength,0.4,Low strength,0.4,Low strength,0.4,Low strength,0,0,0,762498248
20428362,57992,Farm and Garden Composting Facility - Surface,2,20487,Precipitation,1,0.043,Low precipitation,0.087,Low precipitation,0.087,Low precipitation,0.101,Low precipitation,0,0,0,762498249
20428362,351,FOR - Construction Limitations for Haul Roads/Log Landings,0,351,FOR - Construction Limitations for Haul Roads/Log Landings,0,0.5,Moderate,0.5,Moderate,0.5,Moderate,0.5,Moderate,1,1,0,762498250
20428362,351,FOR - Construction Limitations for Haul Roads/Log Landings,1,531,Strength Limitation (1),1,0.5,Low strength,0.5,Low strength,0.5,Low strength,0.5,Low strength,1,1,0,762498251
20428362,351,FOR - Construction Limitations for Haul Roads/Log Landings,2,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498252
20428362,670,FOR - Hand Planting Suitability,0,670,FOR - Hand Planting Suitability,0,0,Well suited,0,Well suited,0,Well suited,0,Well suited,0,0,0,762498253
20428362,559,FOR - Harvest Equipment Operability,0,559,FOR - Harvest Equipment Operability,0,0.5,Moderately suited,0.5,Moderately suited,0.5,Moderately suited,0.5,Moderately suited,1,1,0,762498254
20428362,559,FOR - Harvest Equipment Operability,1,329,Strength Limitation (2),1,0.5,Low strength,0.5,Low strength,0.5,Low strength,0.5,Low strength,1,1,0,762498255
20428362,559,FOR - Harvest Equipment Operability,2,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498256
20428362,348,FOR - Log Landing Suitability,0,348,FOR - Log Landing Suitability,0,0.5,Moderately suited,0.5,Moderately suited,0.5,Moderately suited,0.5,Moderately suited,1,1,0,762498257
20428362,348,FOR - Log Landing Suitability,1,329,Strength Limitation (2),1,0.5,Low strength,0.5,Low strength,0.5,Low strength,0.5,Low strength,1,1,0,762498258
20428362,348,FOR - Log Landing Suitability,2,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498259
20428362,63742,FOR - Mechanical Planting Suitability,0,63742,FOR - Mechanical Planting Suitability,0,0,Well suited,0,Well suited,0,Well suited,0,Well suited,0,0,0,762498260
20428362,63743,FOR - Mechanical Site Preparation (Deep),0,63743,FOR - Mechanical Site Preparation (Deep),0,0,Well suited,0,Well suited,0,Well suited,0,Well suited,0,0,0,762498261
20428362,63744,FOR - Mechanical Site Preparation (Surface),0,63744,FOR - Mechanical Site Preparation (Surface),0,0,Well suited,0,Well suited,0,Well suited,0,Well suited,0,0,0,762498262
20428362,63745,FOR - Potential Erosion Hazard (Off-Road/Off-Trail),0,63745,FOR - Potential Erosion Hazard (Off-Road/Off-Trail),0,0,Slight,0,Slight,0,Slight,0,Slight,0,0,0,762498263
20428362,330,FOR - Potential Erosion Hazard (Road/Trail),0,330,FOR - Potential Erosion Hazard (Road/Trail),0,0,Slight,0,Slight,0,Slight,0,Slight,0,0,0,762498264
20428362,10458,FOR - Potential Fire Damage Hazard,0,10458,FOR - Potential Fire Damage Hazard,0,0,Low,0,Low,0,Low,0,Low,0,0,0,762498265
20428362,10599,FOR - Potential Seedling Mortality,0,10599,FOR - Potential Seedling Mortality,0,0,Low,0,Low,0,Low,0,Low,0,1,0,762498266
20428362,297,FOR - Road Suitability (Natural Surface),0,297,FOR - Road Suitability (Natural Surface),0,0.5,Moderately suited,0.5,Moderately suited,0.5,Moderately suited,0.5,Moderately suited,1,1,0,762498267
20428362,297,FOR - Road Suitability (Natural Surface),1,329,Strength Limitation (2),1,0.5,Low strength,0.5,Low strength,0.5,Low strength,0.5,Low strength,1,1,0,762498268
20428362,297,FOR - Road Suitability (Natural Surface),2,23660,Dust PM10 and PM2.5 Generation,1,0.069,Dusty,0.069,Dusty,0.069,Dusty,0.069,Dusty,0,0,0,762498269
20428362,281,FOR - Soil Rutting Hazard,0,281,FOR - Soil Rutting Hazard,0,1,Severe,1,Severe,1,Severe,1,Severe,0,1,0,762498270
20428362,281,FOR - Soil Rutting Hazard,1,640,Strength Limitation (3),1,1,Low strength,1,Low strength,1,Low strength,1,Low strength,0,1,0,762498271
20428362,63746,FOR - Windthrow Hazard,0,63746,FOR - Windthrow Hazard,0,0,Slight,0,Slight,0,Slight,0,Slight,0,0,0,762498272
20428362,63746,FOR - Windthrow Hazard,1,63738,Windthrow Hillslope Rating,1,0.3,Hillslope position,0.3,Hillslope position,0.3,Hillslope position,0.3,Hillslope position,0,0,0,762498273
20428362,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),0,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),0,0,Poorly suited,0,Poorly suited,0,Poorly suited,0,Poorly suited,0,0,0,762498274
20428362,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),1,56158,"USFS Region 4, Native Surface Roads - Slope and AASHTO GI",1,0,Soil strength,0,Soil strength,0,Soil strength,0,Soil strength,0,0,0,762498275
20428362,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),2,48699,"USFS Region 4, Native Surface Roads - Slope",1,0,Slope gradient,0,Slope gradient,0,Slope gradient,1,Slope gradient,0,0,0,762498276
20428362,54580,Fragile Soil Index,0,54580,Fragile Soil Index,0,NA,Not rated,NA,Not rated,NA,Not rated,NA,Not rated,0,0,0,762498277
20428362,54580,Fragile Soil Index,1,54581,Vegetative Cover,1,NA,Not rated,NA,Not rated,NA,Not rated,NA,Not rated,0,0,0,762498278
20428362,54580,Fragile Soil Index,2,54579,Organic Matter in surface Layer,1,0.421,Moderate organic matter,0.421,Moderate organic matter,0.421,Moderate organic matter,0.421,Moderate organic matter,0,0,0,762498279
20428362,54580,Fragile Soil Index,3,54639,Structure Index of Surface,1,0.25,Well structured,0.25,Well structured,0.25,Well structured,0.25,Well structured,0,0,0,762498280
20428362,54580,Fragile Soil Index,4,54638,Slope full range,1,0,Nearly level,0.018,Nearly level,0.018,Nearly level,0.036,Nearly level,0,0,0,762498281
